"esteem","overall","locus","lonely"
4.33333333333333,2,1.66666666666667,2.33333333333333
4.33333333333333,3,4,4
3,1,3,3
4,2.5,3.66666666666667,1.66666666666667
5,3.5,5,1
4,4,4.33333333333333,4
2.33333333333333,1,3,3
1.66666666666667,4,3.33333333333333,4
4.66666666666667,4,2.33333333333333,2.33333333333333
4.66666666666667,2,3,4.66666666666667
3.66666666666667,2,3.66666666666667,2
1.66666666666667,3,2,3
5,2.5,4.33333333333333,2.66666666666667
3.66666666666667,2,5,3.66666666666667
1,1,1,5
4.33333333333333,2.5,4.33333333333333,2.66666666666667
4,2,5,3.66666666666667
3.33333333333333,2,4,2.33333333333333
3.33333333333333,2,2.66666666666667,4.33333333333333
2.66666666666667,1,3,5
4.66666666666667,2,4,4.33333333333333
4.33333333333333,3.5,4.66666666666667,1.33333333333333
4,2,4.33333333333333,4.33333333333333
3,1,3,3.66666666666667
5,2.5,5,5
4.33333333333333,2,4.33333333333333,3
3.33333333333333,2,3,4
3.66666666666667,2,3.66666666666667,1
5,2,3.66666666666667,1.66666666666667
4,2,3.33333333333333,3.33333333333333
5,3,3.66666666666667,3
4.33333333333333,3,4,4.33333333333333
2.66666666666667,2,2.33333333333333,4
4,2,3.66666666666667,4.66666666666667
4.66666666666667,2.5,3,2.33333333333333
2.33333333333333,2,2.33333333333333,4.66666666666667
4.33333333333333,2.5,2.66666666666667,4
5,2,1,2.33333333333333
2.66666666666667,1.5,2.66666666666667,1.66666666666667
3.66666666666667,3,3,4
4.33333333333333,2.5,4.66666666666667,2
3.33333333333333,3,3.33333333333333,4.66666666666667
3,3,2.66666666666667,3.66666666666667
1.66666666666667,2,3.33333333333333,5
3.33333333333333,1,3.33333333333333,2.33333333333333
3.33333333333333,2.5,3.33333333333333,3.66666666666667
4,2,2.66666666666667,4.33333333333333
4.33333333333333,3,4.66666666666667,1.33333333333333
3,2.5,2,3.33333333333333
2.66666666666667,2,4,2.66666666666667
3,3,3.33333333333333,3.66666666666667
