"","phyab1","phyab2","phyab3","phyab4","appear1","appear2","appear3","appear4","peerrel1","peerrel2","peerrel3","peerrel4"
"phyab1",3.61,1.6625,2.30926,2.07176,1.311,1.59904,1.95662,1.05754,1.67485,1.60284,1.22094,1.73204
"phyab2",1.6625,3.0625,1.6583,1.4147,1.08675,1.56485,1.944425,1.22815,1.148,1.554,0.9996,1.5211
"phyab3",2.30926,1.6583,4.2436,2.556048,1.6583,2.058764,2.400518,1.645116,1.6892,1.737816,2.010148,1.615864
"phyab4",2.07176,1.4147,2.556048,3.5344,1.98904,1.928316,2.700244,1.956328,1.61868,2.045064,1.655528,1.873232
"appear1",1.311,1.08675,1.6583,1.98904,5.29,4.29479,4.23844,3.39526,1.6974,2.70618,2.35382,2.48676
"appear2",1.59904,1.56485,2.058764,1.928316,4.29479,6.9169,4.775291,4.009698,1.83311,3.561546,2.879324,2.50902
"appear3",1.95662,1.944425,2.400518,2.700244,4.23844,4.775291,7.3441,4.787486,2.499975,4.151178,3.676386,3.619476
"appear4",1.05754,1.22815,1.645116,1.956328,3.39526,4.009698,4.787486,5.8564,2.08362,3.169716,3.282972,3.129544
"peerrel1",1.67485,1.148,1.6892,1.61868,1.6974,1.83311,2.499975,2.08362,4.2025,2.68509,2.97619,2.56414
"peerrel2",1.60284,1.554,1.737816,2.045064,2.70618,3.561546,4.151178,3.169716,2.68509,4.9284,3.117324,2.729712
"peerrel3",1.22094,0.9996,2.010148,1.655528,2.35382,2.879324,3.676386,3.282972,2.97619,3.117324,5.6644,3.27964
"peerrel4",1.73204,1.5211,1.615864,1.873232,2.48676,2.50902,3.619476,3.129544,2.56414,2.729712,3.27964,4.4944
